marca,nome,preco_antigo,centavos_antigo,preco_atual,centavos_atual,avaliacao,quantidade_avaliacoes
,Tênis Corrida Caminhada Esportivo Leve Confortável,129,90,68,84,,
UNDER ARMOUR,Tênis Masculino Charged Slight 3 Under Armour,359,99,240,34,4.9,(1055)
UNDER ARMOUR,Tenis Under Armour Buzzer 2 Cinza Verde Limao Preto,293,48,28,45,5.0,(1)
ADIDAS,Tênis Masculino Runfalcon 5 adidas,599,99,325,84,4.8,(35)
MIZUNO,Tênis Mizuno Enigma Branco Masculino Corrida,399,,40,,,
STREET,Kit 2 Tênis Masculino Street Confort + Relogio Digital,168,,33,,,
UNDER ARMOUR,Tênis Masculino E Feminino Pacer *oferta* Under Armour,449,99,226,89,4.7,(398)
MIZUNO,Tênis Masculino Wave Zest 2 Mizuno,449,99,322,99,4.7,(260)
ULTRABONE,Kit 3 Tenis Ultrabone Black Coleção Completa Muito Leve,249,90,179,92,5.0,(3)
ULTRABONE,Kit 2 Tenis Ultrabone Black Para Caminhada Crossfit Macio,199,90,129,93,,
MIZUNO,Tênis Masculino Wave Zest 2 Mizuno,449,99,322,99,4.7,(260)
MIZUNO,Tênis De Corrida Masculino E Feminino Hawk 5 Mizuno *oferta*,325,45,197,46,4.7,(721)
STREET,Kit 3 Tênis Masculino Olymp Street Corrida,229,,22,,,
FILA,Fila Euro Jogger Sport Masculino Adultos,299,90,284,90,4.7,(368)
,Tênis Masculino Esportivo Academia Leve Promoção Kit 2 Pares,149,79,134,81,4.7,(61)
,Tênis Masculino Corrida Caminhada Academia Macio Barato Top,51,90,49,30,4.4,(4468)
STREET,Kit 2 Tênis Masculino Street Corrida + Relogio Digital,168,,16,,,
MIZUNO,Tênis Masculino Mizuno Academia Corrida Treino Leve Barato,333,33,129,99,,
ASICS,Tênis Masculino Asics Gel Carbono Original Couro Corrida,465,90,139,76,,
MIZUNO,Tênis Masculino Space 4 Mizuno,329,99,228,94,4.7,(303)
PUMA,Puma Viz-Tech Viz Runner V2 BDP Masculino Adultos,499,90,382,84,4.6,(190)
,Tênis Masculino Original Preto Para Academia De Caminhada,89,33,66,99,,
OLYMPIKUS,Tênis Modulo Masculino Olympikus *oferta*,249,99,166,24,4.7,(36)
OLYMPIKUS,Tênis Masculino Versa Com Sola Caixa Olympikus *oferta*,259,99,154,84,4.8,(1182)
OLYMPIKUS,Sapato Masculino Olympikus Ultra Leve Caminhada Treino Olimp,399,99,287,99,,
OLYMPIKUS,Tênis Masculino Index 3 Olympikus *oferta*,189,99,135,84,4.6,(312)
MIZUNO,Tênis De Corrida Masculino E Feminino Hawk 5 Mizuno *oferta*,325,45,197,46,4.7,(721)
ULTRABONE,Kit 2 Pares Tenis Masculino Black Esportivo Academia Corrida,199,99,125,99,,
STARFLEX,Tênis Com Amortecedor Masculino Corrida Academia Flex Molas,154,99,131,74,4.6,(172)
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,279,99,188,09,4.8,(10396)
,Tênis Número Especial Esportivo Corrida E Academia 44-48,159,90,119,92,4.4,(172)
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,77,90,74,67,4.5,(6376)
NEW BALANCE,New Balance 574 V2 Masculino Adultos,519,90,51,99,5.0,(13)
,Tênis O2x Ultrabr Sport,89,90,8,74,,
OLYMPIKUS,Tênis Masculino Reflect Olympikus,249,99,172,89,4.9,(78)
FILA,Fila Racer Comet Masculino Adultos,362,49,251,99,4.7,(50)
OLYMPIKUS,Tênis Masculino Diffuse Olympikus *oferta*,299,99,193,79,4.8,(279)
,Kit 3 Tênis Academia Treino Masculino Fitness Promoção,189,90,180,40,5.0,(16)
OLYMPIKUS,Tênis Esportivo Masculino Cosmo Olympikus *oferta*,229,99,169,09,4.8,(401)
OLYMPIKUS,Olympikus Casual Jogging 101 Masculino Adultos 43440197-1-030,199,99,169,99,4.6,(1847)
,Tênis Esportivo Caminhada Masculino Academia Treno + Relógio,99,10,89,70,5.0,(1)
ULTRABONE,Tênis Esportivo Ortopédico Caminhada Academia Leve + Relógio,79,50,7,73,,
OLYMPIKUS,Tênis Masculino Esportivo Dynamic Cover Grid Olympikus Novo,274,55,203,29,4.8,(245)
ABUZZE,Tênis Masculino De Corrida Run Max Performance,99,90,94,90,4.5,(2)
ULTRABONE,Tênis Masculino Ortopédico Caminhada Academia + Relógio,66,55,6,47,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Masculino Preto,299,90,33,32,,
OLYMPIKUS,Olympikus Casual Jogging 100 Sem gênero Adultos OBTN068_1-012,229,99,158,69,4.7,(4207)
